player_id,player,position,ht_inches,weight,bmi,current_team,birth_date,birth_place,death_date,life_span_yrs,college,high_school,draft_team,draft_round,draft_position,draft_year,current_salary,induct.year,from,to,1st.team.ap,pro_bowl,years.starter,career.avg.value,games,completions,pass.att,pass.yds,pass.td,longest.pass,int,times.sacked,sack.yds.lost,rush.att,rush.yds,rush.td,longest.rush,receptions,rec.yds,rec.tds,longest.rec
16023,Mike Munchak,G,75,281,35.19602998801957,NA,1960-03-05,"Scranton, PA",NA,NA,Penn St.,"Scranton, PA",Houston Oilers,1,8,1982,NA,2001,1982,1993,2,9,11,91,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5764,Chris Doleman,DE,77,289,34.34205491511612,NA,1961-10-16,"Indianapolis, IN",NA,NA,Pittsburgh,"Valley Forge Military Academy, PA",Minnesota Vikings,1,4,1985,NA,2012,1985,1999,2,8,13,114,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14394,Don Maynard,E,72,180,24.46343276524937,NA,1935-01-25,"Crosbyton, TX",NA,NA,Texas-El Paso,"Colorado, TX",New York Giants,9,109,1957,NA,1987,1958,1973,1,4,13,101,186,NA,NA,NA,NA,NA,NA,NA,NA,24,70,0,14,633,11834,88,87
4885,Larry Csonka,RB,75,237,29.684907854664193,NA,1946-12-25,"Stow, OH",NA,NA,Syracuse,"Stow, OH",Miami Dolphins,1,8,1968,NA,1987,1968,1979,2,5,11,73,146,NA,NA,NA,NA,NA,NA,NA,NA,1891,8081,64,54,106,820,4,65
13489,James Lofton,WR,75,192,24.04853294555074,NA,1956-07-05,"Fort Ord, CA",NA,NA,Stanford,"George Washington, CA",Green Bay Packers,1,6,1978,NA,2003,1978,1993,1,8,14,101,233,1,5,43,0,43,0,0,0,32,246,1,83,764,14004,75,80
5437,Joe DeLamielleure,G,75,254,31.814205042551496,NA,1951-03-16,"Detroit, MI",NA,NA,Michigan St.,"St. Clement, MI",Buffalo Bills,1,26,1973,NA,2003,1973,1985,3,6,12,87,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12920,Yale Lary,DB,71,185,25.85621300798425,NA,1930-11-24,"Fort Worth, TX",2017-05-12,86.5232876712329,Texas A&M;,"North Side, TX",Detroit Lions,3,34,1952,NA,1979,1952,1964,3,9,11,65,133,0,4,0,0,0,0,NA,NA,10,153,0,32,NA,NA,NA,NA
8228,Otto Graham,QB,73,196,25.913151674475436,NA,1921-12-06,"Waukegan, IL",2003-12-17,82.0849315068493,Northwestern,"Waukegan, IL",Detroit Lions,1,4,1944,NA,1965,1946,1955,7,5,10,0,126,1464,2626,23584,174,99,135,NA,NA,405,882,44,36,NA,NA,NA,NA
20608,Emmitt Smith,RB,69,221,32.70423374590615,NA,1969-05-15,"Pensacola, FL",NA,NA,Florida,"Escambia, FL",Dallas Cowboys,1,17,1990,NA,2010,1990,2004,4,8,14,129,226,1,1,21,1,21,0,0,0,4409,18355,164,75,515,3224,11,86
9681,Arnie Herber,TB,71,203,28.371952652004342,NA,1910-04-02,"Green Bay, WI",1969-10-14,59.5753424657534,Wisconsin,"Green Bay West, WI",NA,NA,NA,NA,NA,1966,1930,1945,1,1,7,0,129,481,1175,8041,81,92,106,NA,NA,250,116,3,1,11,155,3,25
12859,Jim Langer,C,74,250,32.165214738823124,NA,1948-05-16,"Little Falls, MN",NA,NA,South Dakota St.,"Royalton, MN",NA,NA,NA,NA,NA,1987,1970,1981,4,6,8,89,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14300,Bruce Matthews,G,77,305,36.2433451526312,NA,1961-08-08,"Raleigh, NC",NA,NA,USC,"Arcadia, CA",Houston Oilers,1,9,1983,NA,2007,1983,2001,7,14,19,134,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
25008,Gary Zimmerman,T,78,294,34.04615021530562,NA,1961-12-13,"Fullerton, CA",NA,NA,Oregon,"Walnut, CA",New York Giants,1,3,1984,NA,2008,1986,1997,3,7,12,100,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1891,Mel Blount,DB,75,205,25.676819030405735,NA,1948-04-10,"Vidalia, GA",NA,NA,Southern,"Lyons, GA",Pittsburgh Steelers,3,53,1970,NA,1989,1970,1983,2,5,14,101,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9755,Gene Hickerson,G,75,248,31.062688388003036,NA,1935-02-15,"Trenton, TN",2008-10-20,73.7287671232877,Mississippi,"Trezevant, TN",Cleveland Browns,7,78,1957,NA,2007,1958,1973,3,6,13,86,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19437,Barry Sanders,RB,68,203,30.930582465128435,NA,1968-07-16,"Wichita, KS",NA,NA,Oklahoma St.,"North, KS",Detroit Lions,1,3,1989,NA,2004,1989,1998,6,10,10,121,153,1,4,11,0,11,1,0,0,3062,15269,99,85,352,2921,10,66
18468,Mel Renfro,DB,72,190,25.82251236331878,NA,1941-12-30,"Houston, TX",NA,NA,Oregon,"Jefferson, OR",Dallas Cowboys,2,17,1964,NA,1996,1964,1977,1,10,13,98,174,NA,NA,NA,NA,NA,NA,NA,NA,8,52,0,27,4,65,0,42
8430,Kevin Greene,LB,75,247,30.93743561224496,NA,1962-07-31,"New York, NY",NA,NA,Auburn,"Granite City South, IL",Los Angeles Rams,5,113,1985,NA,2016,1985,1999,2,5,11,94,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Troy Aikman,QB,76,219,26.713255390751524,NA,1966-11-21,"West Covina, CA",NA,NA,Oklahoma,"Henryetta, OK",Dallas Cowboys,1,1,1989,NA,2006,1989,2000,0,6,11,97,165,2898,4715,32942,165,90,141,259,1748,327,1016,9,25,2,-19,0,0
18643,Les Richter,LB,75,238,29.81016063042227,NA,1930-10-06,"Fresno, CA",2010-06-12,79.7369863013699,California,"Fresno, CA",Dallas Texans,1,2,1952,NA,2011,1954,1962,1,8,7,18,112,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,8,NA,NA,NA,NA
20548,Bruce Smith,DE,76,262,31.95832380080776,NA,1963-06-18,"Norfolk, VA",NA,NA,Virginia Tech,"Booker T. Washington, VA",Buffalo Bills,1,1,1985,NA,2009,1985,2003,8,11,18,147,279,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA
16971,Orlando Pace,T,79,325,36.6892694572559,NA,1975-11-04,"Sandusky, OH",NA,NA,Ohio St.,"Sandusky, OH",St. Louis Rams,1,1,1997,NA,2016,1997,2009,3,7,12,104,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4428,George Connor,T,75,240,30.060666181938423,NA,1925-01-21,"Chicago, IL",2003-03-31,78.241095890411,Holy Cross,"De La Salle Institute, IL",New York Giants,1,5,1946,NA,1975,1948,1955,4,4,7,0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,89,0,25
20372,Mike Singletary,LB,72,230,31.258830755596414,NA,1958-10-09,"Houston, TX",NA,NA,Baylor,"Evan E. Worthing, TX",Chicago Bears,2,38,1981,NA,1998,1981,1992,7,10,12,123,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7166,Danny Fortmann,G,72,210,28.540671559457596,NA,1916-04-11,"Pearl River, NY",1995-05-23,79.1671232876712,Colgate,"Pearl River, NY",Chicago Bears,9,78,1936,NA,1965,1936,1943,6,3,8,0,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9267,Marvin Harrison,WR,72,175,23.783892966214662,NA,1972-08-25,"Philadelphia, PA",NA,NA,Syracuse,"Roman Catholic, PA",Indianapolis Colts,1,19,1996,NA,2016,1996,2008,3,8,12,124,190,NA,NA,NA,NA,NA,NA,NA,NA,10,28,0,15,1102,14580,128,80
